SBS-1 Log from KAMPENHOUT for 08/03/2015. Times are LOCAL.
Author skystef
Created by Active Display Lite v1.64.0.30

Code   CallSign Reg      ICAO FAlt  LAlt  Date/Time (dd/mm/yyyy)
4CA64A RYR90RJ  EI-DYH   B738 8600  28925 08/03/2015 07:05:39
4843D9 TRA709C  PH-XRV   B737 4700  32100 08/03/2015 07:05:45
484058 KLM32    PH-BFP   B744 24350 18250 08/03/2015 07:06:26
3C49C2 BER331U  D-ABNB   A320 20525 30425 08/03/2015 07:06:42
484F01 TFL445   PH-TFD   B738 9700  34575 08/03/2015 07:06:43
3986E8 AFR1939  F-HBXI   E170 36000 36000 08/03/2015 07:06:58
451E8B LZB851   LZ-FBA   A319 38000 32725 08/03/2015 07:07:37
4CA979 RYR3745  EI-ESR   B738 7950  22175 08/03/2015 07:08:04
485084 KLM1351  PH-EXB   E190 11150 26500 08/03/2015 07:08:40
484CB8 KLM19T   PH-BGR   B737 9875  40850 08/03/2015 07:09:19
43E9F6 MPDCS    M-PDCS   F2TH 32600 41000 08/03/2015 07:09:24
4841D6 TRA317Y  PH-XRC   B737 5975  35000 08/03/2015 07:09:43
AB0E54 DAL134   N811NW   A333 17275 13400 08/03/2015 07:09:50
AA6B7E -------- N77006   B772 18875 15500 08/03/2015 07:10:10
484F6C TRA3W    PH-HSF   B738 9275  32025 08/03/2015 07:10:30
484188 TRA2U    PH-XRA   B737 4300  33000 08/03/2015 07:10:53
471F85 WZZ737   HA-LYJ   A320 29075 25500 08/03/2015 07:11:24
4CA625 RYR92YD  EI-DWY   B738 31250 24725 08/03/2015 07:12:21
4CA764 RYR76N   EI-EFI   B738 200   7825  08/03/2015 07:12:53
484B31 KLM47B   PH-EZD   E190 10875 10875 08/03/2015 07:13:02
484165 -------- PH-BXM   B738 14425 37000 08/03/2015 07:13:09
48414D TRA61F   PH-HZI   B738 8050  35825 08/03/2015 07:13:36
4841D7 TRA1T    PH-XRZ   B737 5450  29200 08/03/2015 07:13:48
471F82 WZZ1EK   HA-LYG   A320 38025 22700 08/03/2015 07:14:17
A13386 DAL24    N177DN   B763 35000 16975 08/03/2015 07:14:27
3C4DCA GWI73E   D-ACNJ   CRJ9 25375 31000 08/03/2015 07:14:30
484F80 KLM1314  PH-EZX   E190 29550 7575  08/03/2015 07:14:45
47340E WZZ1GD   HA-LPN   A320 35975 24500 08/03/2015 07:14:52
4CA61C -------- EI-DWO   B738 ----- ----- 08/03/2015 07:15:51
394A01 -------- F-GSQB   B77W 28425 27975 08/03/2015 07:15:53
A0F44C DAL80    N1602    B763 23000 -125  08/03/2015 07:16:00
3C4DD2 GWI19H   D-ACNR   CRJ9 24950 30825 08/03/2015 07:16:13
44CDC6 BEL1WS   OO-SNF   A320 175   35875 08/03/2015 07:16:18
39644D AFR217   F-GZCN   A332 28300 23425 08/03/2015 07:16:21
471F59 WZZ7UM   HA-LWR   A320 38000 25725 08/03/2015 07:16:46
4CA562 RYR800G  EI-DPW   B738 31950 35000 08/03/2015 07:16:49
76CEEF SIA306   9V-SWO   B77W 34000 33925 08/03/2015 07:17:08
4841DB TRA8H    PH-XRD   B737 5000  35000 08/03/2015 07:17:14
800721 JAI229   VT-JWU   A333 23000 -100  08/03/2015 07:17:41
484164 KLM49W   PH-BXL   B738 10375 38925 08/03/2015 07:17:46
3C6632 GWI252   D-AIQR   A320 23625 34350 08/03/2015 07:18:19
44CCCE BEL231   OO-SFN   A333 21650 0     08/03/2015 07:18:47
3C6750 DLH5Y    D-AIZP   A320 450   23000 08/03/2015 07:19:10
A5492E -------- N44KJ    GLF6 31225 43000 08/03/2015 07:19:30
3C0A4D SXD3913  D-ASXK   B738 24025 35000 08/03/2015 07:20:01
3C6448 DLH3UP   D-AIBH   A319 35850 31375 08/03/2015 07:20:03
484C1B KLM1141  PH-EZG   E190 14450 19900 08/03/2015 07:20:22
4CA84D RYR596M  EI-EME   B738 150   8525  08/03/2015 07:20:25
484FDF KLM23P   PH-BCE   B738 9650  29000 08/03/2015 07:20:40
3C66A8 DLH33C   D-AIUH   A320 22000 34975 08/03/2015 07:21:10
471F55 WZZ900   HA-LWN   A320 36000 24075 08/03/2015 07:21:50
47340A WZZ2201  HA-LPJ   A320 36025 23200 08/03/2015 07:23:32
3C5464 DLH975   D-AECD   E190 41000 34400 08/03/2015 07:23:42
398565 -------- F-HBLF   E190 ----- ----- 08/03/2015 07:23:49
471F49 WZZ18CE  HA-LWB   A320 35975 25250 08/03/2015 07:24:01
4B18F4 SWR737   HB-JLS   A320 9400  39000 08/03/2015 07:24:18
3C6619 GWI5102  D-AIPY   A320 21100 29850 08/03/2015 07:24:22
4CA6A9 RYR3631  EI-DYV   B738 33650 24675 08/03/2015 07:24:26
3C7209 BER7417  D-ALPI   A332 37425 21150 08/03/2015 07:25:37
